rdnm,store_code, mon_sales , mon_sales_count ,weekdays_sales_rate,weekend_sales_rate,weekdays_sales_coount,weekend_sales_count,breakfast(06~11),lunch(11~17),dinner(17~06),men_sales_rate,women_sales_rate
계동길,한식," \690,907,504 ",19840,75,26,15582,4258,0,67,32,52,48
계동길,중식," \45,229,622 ",2447,71,29,1743,704,0,61,40,37,63
계동길,양식," \153,713,419 ",2928,58,42,1686,1242,0,50,49,41,59
계동길,분식," \153,756,992 ",11279,74,26,8768,2511,0,77,23,39,62
계동길,패스트푸드점," \53,945,030 ",4095,61,39,2498,1597,0,65,35,44,56
계동길,제과제빵떡케익," \208,491,029 ",26538,78,22,20627,5911,33,38,29,42,58
계동길,커피점/카페," \543,160,033 ",45129,58,42,30027,15102,6,73,20,36,64
난계로27길,한식," \220,732,713 ",15880,92,9,14434,1446,7,68,27,63,37
난계로27길,중식," \109,980,681 ",5627,69,31,3889,1738,1,79,21,69,31
난계로27길,커피점/카페," \190,809,447 ",23446,75,25,16679,6767,17,67,17,40,60
난계로27길,유흥주점," \153,200,980 ",4329,68,32,2948,1381,0,0,100,63,37
돈화문로11가길,한식," \885,833,616 ",25588,87,13,21404,4184,1,65,35,58,42
돈화문로11가길,중식," \323,099,942 ",14330,79,21,10661,3669,1,61,38,71,29
돈화문로11가길,일식/수산물," \102,752,285 ",2732,94,6,2605,127,0,75,24,64,36
돈화문로11가길,양식," \215,398,151 ",11443,82,18,10391,1052,0,39,61,60,41
돈화문로11가길,분식," \67,743,929 ",3368,76,24,2565,803,1,45,54,19,81
돈화문로11가길,패스트푸드점," \3,988,832 ",168,68,32,112,56,0,13,87,62,38
돈화문로11가길,제과제빵떡케익," \387,397,973 ",46817,73,27,34241,12576,19,40,41,48,52
돈화문로11가길,커피점/카페," \443,917,726 ",38782,82,18,33145,5637,22,61,16,42,58
돈화문로11가길,유흥주점," \439,845,721 ",5935,79,21,4204,1731,0,1,100,83,18
명륜길,한식," \628,504,665 ",60921,81,19,49381,11540,2,58,41,59,41
명륜길,중식," \40,846,718 ",2335,61,39,1801,534,1,44,55,72,29
명륜길,일식/수산물," \74,849,775 ",7709,84,16,6492,1217,3,58,39,51,49
명륜길,양식," \91,003,099 ",9892,93,7,9290,602,1,66,32,51,49
명륜길,분식," \182,763,066 ",22043,80,20,17898,4145,3,45,51,62,38
명륜길,닭/오리요리," \162,952,848 ",12683,66,34,8346,4337,0,4,95,69,31
명륜길,제과제빵떡케익," \278,636,781 ",38941,71,29,27792,11149,23,33,43,43,57
명륜길,커피점/카페," \78,622,132 ",22438,76,25,17593,4845,10,71,20,52,49
백석동길,한식," \681,083,006 ",11932,62,38,7523,4409,1,60,39,46,54
백석동길,양식," \354,990,642 ",5453,56,44,3171,2282,0,46,56,47,53
백석동길,커피점/카페," \804,885,930 ",41104,56,44,21919,19185,1,65,34,44,56
