rdnm,store_code, mon_sales , mon_sales_count ,weekdays_sales_rate,weekend_sales_rate,weekdays_sales_coount,weekend_sales_count,breakfast(06~11),lunch(11~17),dinner(17~06),men_sales_rate,women_sales_rate
계동길,한식,690907504,19840,26,75,15582,4258,1,67,32,52,48
계동길,중식,45229622,2447,29,71,1743,704,-1,61,40,37,63
계동길,양식,153713419,2928,42,58,1686,1242,1,50,49,41,59
계동길,분식,153756992,11279,26,74,8768,2511,0,77,23,39,62
계동길,패스트푸드점,53945030,4095,39,61,2498,1597,0,65,35,44,56
계동길,제과제빵떡케익,208491029,26538,20627,78,20627,5911,33,38,29,42,58
계동길,커피점/카페,543160033,45129,42,58,30027,15102,7,73,20,36,64
난계로27길,한식,220732713,15880,9,92,14434,1446,5,68,27,63,37
난계로27길,중식,109980681,5627,31,69,3889,1738,0,79,21,69,31
난계로27길,커피점/카페,190809447,23446,25,75,16679,6767,16,67,17,40,60
난계로27길,유흥주점,153200980,4329,32,68,2948,1381,0,0,100,63,37
돈화문로11가길,한식,885833616,25588,13,87,21404,4184,0,65,35,58,42
돈화문로11가길,중식,323099942,14330,21,79,10661,3669,1,61,38,71,29
돈화문로11가길,일식/수산물,102752285,2732,2605,94,2605,127,1,75,24,64,36
돈화문로11가길,양식,215398151,11443,18,82,10391,1052,0,39,61,60,41
돈화문로11가길,분식,67743929,3368,24,76,2565,803,1,45,54,19,81
돈화문로11가길,패스트푸드점,3988832,168,32,68,112,56,0,13,87,62,38
돈화문로11가길,제과제빵떡케익,387397973,46817,34241,73,34241,12576,19,40,41,48,52
돈화문로11가길,커피점/카페,443917726,38782,18,82,33145,5637,23,61,16,42,58
돈화문로11가길,유흥주점,439845721,5935,21,79,4204,1731,-1,1,100,83,18
명륜길,한식,628504665,60921,19,81,49381,11540,1,58,41,59,41
명륜길,중식,40846718,2335,39,61,1801,534,1,44,55,72,29
명륜길,일식/수산물,74849775,7709,6492,84,6492,1217,3,58,39,51,49
명륜길,양식,91003099,9892,7,93,9290,602,2,66,32,51,49
명륜길,분식,182763066,22043,20,80,17898,4145,4,45,51,62,38
명륜길,닭/오리요리,162952848,12683,34,66,8346,4337,1,4,95,69,31
명륜길,제과제빵떡케익,278636781,38941,27792,71,27792,11149,24,33,43,43,57
명륜길,커피점/카페,78622132,22438,25,76,17593,4845,9,71,20,52,49
백석동길,한식,681083006,11932,62,62,7523,4409,1,60,39,46,54
백석동길,양식,354990642,5453,56,56,3171,2282,-2,46,56,47,53
백석동길,커피점/카페,804885930,41104,56,56,21919,19185,1,65,34,44,56
백석동길,유흥주점,34076347,866,57,57,497,369,0,33,67,39,61
북촌로11길,한식,1073624209,16730,30,70,11554,5176,-1,58,43,50,50
북촌로11길,분식,71705298,7246,36,64,4700,2546,2,71,27,37,63
북촌로11길,닭/오리요리,71056552,1684,30,70,1181,503,-1,10,91,56,44
북촌로11길,커피점/카페,28721051,4758,41,60,2985,1773,2,75,23,46,55
북촌로5길,한식,1330080284,44605,37,63,27118,17487,-1,71,30,46,54
북촌로5길,양식,471460767,11318,35,65,6875,4443,1,63,36,33,68
북촌로5길,분식,1054387492,103779,45,55,62311,41468,1,63,36,44,56
북촌로5길,패스트푸드점,417942125,28676,50,50,14599,14077,0,57,43,43,57
북촌로5길,커피점/카페,1446264562,114720,43,57,69115,45605,4,65,31,36,64
북촌로5길,유흥주점,7061940,672,33,67,440,232,-1,71,30,54,46
북촌로5나길,한식,1747332887,38622,67,67,25013,13609,1,65,34,58,42
북촌로5나길,중식,131687791,4525,84,84,3788,737,0,65,35,66,34
북촌로5나길,양식,601864081,13329,38,38,6764,6565,-1,64,37,31,69
북촌로5나길,제과제빵떡케익,66345944,4060,51,50,2003,2057,0,56,44,43,57
북촌로5나길,커피점/카페,923439522,60445,54,54,32296,28149,4,59,37,44,56
북촌로5나길,유흥주점,30211800,686,74,74,503,183,1,1,98,76,24
삼청로5길,한식,2279311809,60975,32,68,38243,22732,0,64,36,55,45
삼청로5길,일식/수산물,79233347,2552,1408,55,1408,1144,0,57,43,48,52
삼청로5길,양식,1114960306,16174,38,62,9801,6373,2,55,43,48,52
삼청로5길,분식,186029357,9758,39,61,6148,3610,1,87,12,41,59
삼청로5길,패스트푸드점,21875994,3693,37,63,2301,1392,11,55,34,40,60
삼청로5길,제과제빵떡케익,26735898,2460,1320,52,1320,1140,-1,63,38,43,57
삼청로5길,커피점/카페,237092647,17550,47,53,9041,8509,1,67,32,37,63
삼청로5길,유흥주점,21566067,542,42,58,314,228,0,19,81,53,48
성균관로5길,한식,572165416,31482,27,73,22955,8527,2,28,70,64,36
성균관로5길,중식,118348384,5800,29,71,4132,1668,0,53,47,49,51
성균관로5길,양식,73220589,5197,34,66,3436,1761,0,55,45,55,46
성균관로5길,분식,177965554,16251,27,73,11567,4684,4,43,53,55,45
성균관로5길,패스트푸드점,176382000,10822,33,67,7434,3388,8,44,48,57,43
성균관로5길,닭/오리요리,49670879,2690,30,71,1909,781,0,8,92,67,33
성균관로5길,커피점/카페,139439389,22374,29,71,15430,6944,2,42,56,52,48
성균관로5길,유흥주점,213882124,4840,35,65,3185,1655,0,0,100,70,30
숭인동길,한식,451635669,13161,73,73,9886,3275,1,33,66,61,40
숭인동길,일식/수산물,335944550,3914,24,76,2963,951,0,49,51,59,41
숭인동길,분식,245078570,6672,73,73,4271,2401,6,40,54,63,37
숭인동길,패스트푸드점,3649340,256,74,74,176,80,0,21,79,56,44
숭인동길,닭/오리요리,130618733,5044,69,69,3537,1507,0,5,95,64,36
숭인동길,제과제빵떡케익,398787174,45579,18,83,36081,9498,22,29,49,41,59
숭인동길,커피점/카페,72143473,11243,72,72,8050,3193,14,43,43,44,56
숭인동길,유흥주점,57395635,2105,75,75,1483,622,-1,1,100,73,27
옥인길,한식,211275096,13074,26,74,9356,3718,1,76,23,31,69
옥인길,일식/수산물,29693739,1132,778,67,778,354,1,77,22,24,76
옥인길,양식,326012018,3315,47,53,1757,1558,-1,54,47,41,59
옥인길,분식,283283784,12759,44,57,7426,5333,-1,51,50,36,64
옥인길,패스트푸드점,41527567,1045,36,64,666,379,0,37,63,34,66
옥인길,제과제빵떡케익,46478136,4997,2916,58,2916,2081,2,59,39,34,66
옥인길,커피점/카페,69900414,4530,58,43,2334,2196,1,61,38,39,61
옥인길,유흥주점,100893497,1562,44,56,885,677,-1,8,93,30,70
